Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,100,4,0,11,4,11,5,14,0
5,100,4,0,12,4,12,1,13,0
5,100,4,0,12,4,12,2,12,0
5,100,4,0,12,4,12,3,12,0
5,100,4,0,12,4,12,4,12,0
5,100,4,0,12,4,12,5,14,0
5,100,4,0,13,4,13,1,13,0
5,100,4,0,13,4,13,2,12,0
5,100,4,0,13,4,13,3,12,0
5,100,4,0,13,4,13,4,12,0
5,100,4,0,13,4,13,5,14,0
5,100,4,0,14,4,14,1,13,0
5,100,4,0,14,4,14,2,12,0
5,100,4,0,14,4,14,3,12,0
5,100,4,0,14,4,14,4,12,0
5,100,4,0,14,4,14,5,14,0
5,100,4,0,15,4,15,1,13,0
5,100,4,0,15,4,15,2,12,0
5,100,4,0,15,4,15,3,12,0
5,100,4,0,15,4,15,4,12,0
5,100,4,0,15,4,15,5,14,0
5,100,4,0,16,4,16,1,13,0
5,100,4,0,16,4,16,2,12,0
5,100,4,0,16,4,16,3,12,0
5,100,4,0,16,4,16,4,12,0
5,100,4,0,16,4,16,5,14,0
5,100,4,0,17,4,17,1,13,0
5,100,4,0,17,4,17,2,12,0
5,100,4,0,17,4,17,3,12,0
5,100,4,0,17,4,17,4,12,0
5,100,4,0,17,4,17,5,14,0
5,100,4,0,18,4,18,1,13,0
5,100,4,0,18,4,18,2,12,0
5,100,4,0,18,4,18,3,12,0
5,100,4,0,18,4,18,4,12,0
5,100,4,0,18,4,18,5,14,0
5,100,4,0,19,4,19,1,13,0
5,100,4,0,19,4,19,2,12,0
5,100,4,0,19,4,19,3,12,0
5,100,4,0,19,4,19,4,12,0
5,100,4,0,19,4,19,5,14,0
5,100,4,0,20,4,20,1,13,0
5,100,4,0,20,4,20,2,12,0
5,100,4,0,20,4,20,3,12,0
5,100,4,0,20,4,20,4,12,0
5,100,4,0,20,4,20,5,14,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,100,4,5,1,0,1,1,5,0
5,100,4,5,1,0,1,2,7,3
5,100,4,5,1,0,1,3,11,5
5,100,4,5,1,0,1,4,13,4
5,100,4,5,1,0,1,5,15,5
5,100,4,5,2,0,2,1,15,5
5,100,4,5,2,0,2,2,14,5
5,100,4,5,2,0,2,3,13,3
5,100,4,5,2,0,2,4,13,5
5,100,4,5,2,0,2,5,15,0
5,100,4,5,3,0,3,1,15,4
5,100,4,5,3,0,3,2,14,5
5,100,4,5,3,0,3,3,13,3
5,100,4,5,3,0,3,4,13,5
5,100,4,5,3,0,3,5,15,0
5,100,4,5,4,0,4,1,15,4
5,100,4,5,4,0,4,2,14,5
5,100,4,5,4,0,4,3,13,3
5,100,4,5,4,0,4,4,13,5
5,100,4,5,4,0,4,5,15,0
