Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,17,3,17,3,86,0
5,2000,12,0,17,3,17,4,85,0
5,2000,12,0,17,3,17,5,86,0
5,2000,12,0,18,3,18,1,83,0
5,2000,12,0,18,3,18,2,83,0
5,2000,12,0,18,3,18,3,86,0
5,2000,12,0,18,3,18,4,85,0
5,2000,12,0,18,3,18,5,86,0
5,2000,12,0,19,3,19,1,83,0
5,2000,12,0,19,3,19,2,83,0
5,2000,12,0,19,3,19,3,86,0
5,2000,12,0,19,3,19,4,85,0
5,2000,12,0,19,3,19,5,86,0
5,2000,12,0,20,3,20,1,83,0
5,2000,12,0,20,3,20,2,83,0
5,2000,12,0,20,3,20,3,86,0
5,2000,12,0,20,3,20,4,85,0
5,2000,12,0,20,3,20,5,86,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,1,4,1,1,35,0
5,2000,12,0,1,4,1,2,59,0
5,2000,12,0,1,4,1,3,77,0
5,2000,12,0,1,4,1,4,83,0
5,2000,12,0,1,4,1,5,81,0
5,2000,12,0,2,4,2,1,82,0
5,2000,12,0,2,4,2,2,85,0
5,2000,12,0,2,4,2,3,84,0
5,2000,12,0,2,4,2,4,83,0
5,2000,12,0,2,4,2,5,81,0
5,2000,12,0,3,4,3,1,82,0
5,2000,12,0,3,4,3,2,85,0
5,2000,12,0,3,4,3,3,84,0
5,2000,12,0,3,4,3,4,83,0
5,2000,12,0,3,4,3,5,81,0
5,2000,12,0,4,4,4,1,82,0
5,2000,12,0,4,4,4,2,85,0
5,2000,12,0,4,4,4,3,84,0
5,2000,12,0,4,4,4,4,83,0
5,2000,12,0,4,4,4,5,81,0
5,2000,12,0,5,4,5,1,82,0
5,2000,12,0,5,4,5,2,85,0
5,2000,12,0,5,4,5,3,84,0
5,2000,12,0,5,4,5,4,83,0
5,2000,12,0,5,4,5,5,81,0
5,2000,12,0,6,4,6,1,82,0
5,2000,12,0,6,4,6,2,85,0
5,2000,12,0,6,4,6,3,84,0
5,2000,12,0,6,4,6,4,83,0
5,2000,12,0,6,4,6,5,81,0
5,2000,12,0,7,4,7,1,82,0
5,2000,12,0,7,4,7,2,85,0
5,2000,12,0,7,4,7,3,84,0
5,2000,12,0,7,4,7,4,83,0
5,2000,12,0,7,4,7,5,81,0
5,2000,12,0,8,4,8,1,82,0
5,2000,12,0,8,4,8,2,85,0
5,2000,12,0,8,4,8,3,84,0
5,2000,12,0,8,4,8,4,83,0
5,2000,12,0,8,4,8,5,81,0
5,2000,12,0,9,4,9,1,82,0
