NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,10,1,10,1,128,0
50,5,1000,4,0,10,1,10,2,131,0
50,5,1000,4,0,10,1,10,3,128,0
50,5,1000,4,0,10,1,10,4,125,0
50,5,1000,4,0,10,1,10,5,126,0
50,5,1000,4,0,11,1,11,1,128,0
50,5,1000,4,0,11,1,11,2,131,0
50,5,1000,4,0,11,1,11,3,128,0
50,5,1000,4,0,11,1,11,4,125,0
50,5,1000,4,0,11,1,11,5,126,0
50,5,1000,4,0,12,1,12,1,128,0
50,5,1000,4,0,12,1,12,2,131,0
50,5,1000,4,0,12,1,12,3,128,0
50,5,1000,4,0,12,1,12,4,125,0
50,5,1000,4,0,12,1,12,5,126,0
50,5,1000,4,0,13,1,13,1,128,0
50,5,1000,4,0,13,1,13,2,131,0
50,5,1000,4,0,13,1,13,3,128,0
50,5,1000,4,0,13,1,13,4,125,0
50,5,1000,4,0,13,1,13,5,126,0
50,5,1000,4,0,14,1,14,1,128,0
50,5,1000,4,0,14,1,14,2,131,0
50,5,1000,4,0,14,1,14,3,128,0
50,5,1000,4,0,14,1,14,4,125,0
50,5,1000,4,0,14,1,14,5,126,0
50,5,1000,4,0,15,1,15,1,128,0
50,5,1000,4,0,15,1,15,2,131,0
50,5,1000,4,0,15,1,15,3,128,0
50,5,1000,4,0,15,1,15,4,125,0
50,5,1000,4,0,15,1,15,5,126,0
50,5,1000,4,0,16,1,16,1,128,0
50,5,1000,4,0,16,1,16,2,131,0
50,5,1000,4,0,16,1,16,3,128,0
50,5,1000,4,0,16,1,16,4,125,0
50,5,1000,4,0,16,1,16,5,126,0
50,5,1000,4,0,17,1,17,1,128,0
50,5,1000,4,0,17,1,17,2,131,0
50,5,1000,4,0,17,1,17,3,128,0
50,5,1000,4,0,17,1,17,4,125,0
50,5,1000,4,0,17,1,17,5,126,0
50,5,1000,4,0,18,1,18,1,128,0
50,5,1000,4,0,18,1,18,2,131,0
50,5,1000,4,0,18,1,18,3,128,0
50,5,1000,4,0,18,1,18,4,125,0
50,5,1000,4,0,18,1,18,5,126,0
50,5,1000,4,0,19,1,19,1,128,0
50,5,1000,4,0,19,1,19,2,131,0
50,5,1000,4,0,19,1,19,3,128,0
50,5,1000,4,0,19,1,19,4,125,0
50,5,1000,4,0,19,1,19,5,126,0
50,5,1000,4,0,20,1,20,1,128,0
50,5,1000,4,0,20,1,20,2,131,0
50,5,1000,4,0,20,1,20,3,128,0
50,5,1000,4,0,20,1,20,4,125,0
50,5,1000,4,0,20,1,20,5,126,0
50,5,1000,4,0,21,1,21,1,128,0
50,5,1000,4,0,21,1,21,2,131,0
50,5,1000,4,0,21,1,21,3,128,0
50,5,1000,4,0,21,1,21,4,125,0
50,5,1000,4,0,21,1,21,5,126,0
50,5,1000,4,0,22,1,22,1,128,0
50,5,1000,4,0,22,1,22,2,131,0
50,5,1000,4,0,22,1,22,3,128,0
50,5,1000,4,0,22,1,22,4,125,0
50,5,1000,4,0,22,1,22,5,126,0
50,5,1000,4,0,23,1,23,1,128,0
50,5,1000,4,0,23,1,23,2,131,0
50,5,1000,4,0,23,1,23,3,128,0
50,5,1000,4,0,23,1,23,4,125,0
50,5,1000,4,0,23,1,23,5,126,0
50,5,1000,4,0,24,1,24,1,128,0
50,5,1000,4,0,24,1,24,2,131,0
50,5,1000,4,0,24,1,24,3,128,0
50,5,1000,4,0,24,1,24,4,125,0
50,5,1000,4,0,24,1,24,5,126,0
50,5,1000,4,0,25,1,25,1,128,0
50,5,1000,4,0,25,1,25,2,131,0
50,5,1000,4,0,25,1,25,3,128,0
50,5,1000,4,0,25,1,25,4,125,0
50,5,1000,4,0,25,1,25,5,126,0
50,5,1000,4,0,26,1,26,1,128,0
50,5,1000,4,0,26,1,26,2,131,0
50,5,1000,4,0,26,1,26,3,128,0
50,5,1000,4,0,26,1,26,4,125,0
50,5,1000,4,0,26,1,26,5,126,0
50,5,1000,4,0,27,1,27,1,128,0
50,5,1000,4,0,27,1,27,2,131,0
50,5,1000,4,0,27,1,27,3,128,0
50,5,1000,4,0,27,1,27,4,125,0
50,5,1000,4,0,27,1,27,5,126,0
50,5,1000,4,0,28,1,28,1,128,0
50,5,1000,4,0,28,1,28,2,131,0
50,5,1000,4,0,28,1,28,3,128,0
50,5,1000,4,0,28,1,28,4,125,0
50,5,1000,4,0,28,1,28,5,126,0
50,5,1000,4,0,29,1,29,1,128,0
50,5,1000,4,0,29,1,29,2,131,0
50,5,1000,4,0,29,1,29,3,128,0
50,5,1000,4,0,29,1,29,4,125,0
50,5,1000,4,0,29,1,29,5,126,0
50,5,1000,4,0,30,1,30,1,128,0
50,5,1000,4,0,30,1,30,2,131,0
50,5,1000,4,0,30,1,30,3,128,0
50,5,1000,4,0,30,1,30,4,125,0
50,5,1000,4,0,30,1,30,5,126,0
50,5,1000,4,0,31,1,31,1,128,0
50,5,1000,4,0,31,1,31,2,131,0
50,5,1000,4,0,31,1,31,3,128,0
50,5,1000,4,0,31,1,31,4,125,0
50,5,1000,4,0,31,1,31,5,126,0
50,5,1000,4,0,32,1,32,1,128,0
50,5,1000,4,0,32,1,32,2,131,0
50,5,1000,4,0,32,1,32,3,128,0
50,5,1000,4,0,32,1,32,4,125,0
50,5,1000,4,0,32,1,32,5,126,0
50,5,1000,4,0,33,1,33,1,128,0
50,5,1000,4,0,33,1,33,2,131,0
50,5,1000,4,0,33,1,33,3,128,0
50,5,1000,4,0,33,1,33,4,125,0
50,5,1000,4,0,33,1,33,5,126,0
50,5,1000,4,0,34,1,34,1,128,0
50,5,1000,4,0,34,1,34,2,131,0
50,5,1000,4,0,34,1,34,3,128,0
50,5,1000,4,0,34,1,34,4,125,0
50,5,1000,4,0,34,1,34,5,126,0
50,5,1000,4,0,35,1,35,1,128,0
50,5,1000,4,0,35,1,35,2,131,0
50,5,1000,4,0,35,1,35,3,128,0
50,5,1000,4,0,35,1,35,4,125,0
50,5,1000,4,0,35,1,35,5,126,0
50,5,1000,4,0,36,1,36,1,128,0
50,5,1000,4,0,36,1,36,2,131,0
50,5,1000,4,0,36,1,36,3,128,0
50,5,1000,4,0,36,1,36,4,125,0
50,5,1000,4,0,36,1,36,5,126,0
50,5,1000,4,0,37,1,37,1,128,0
50,5,1000,4,0,37,1,37,2,131,0
50,5,1000,4,0,37,1,37,3,128,0
50,5,1000,4,0,37,1,37,4,125,0
50,5,1000,4,0,37,1,37,5,126,0
50,5,1000,4,0,38,1,38,1,128,0
50,5,1000,4,0,38,1,38,2,131,0
50,5,1000,4,0,38,1,38,3,128,0
50,5,1000,4,0,38,1,38,4,125,0
50,5,1000,4,0,38,1,38,5,126,0
