Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,11,3,11,4,61,0
5,1000,8,0,11,3,11,5,63,0
5,1000,8,0,12,3,12,1,62,0
5,1000,8,0,12,3,12,2,64,0
5,1000,8,0,12,3,12,3,65,0
5,1000,8,0,12,3,12,4,61,0
5,1000,8,0,12,3,12,5,63,0
5,1000,8,0,13,3,13,1,62,0
5,1000,8,0,13,3,13,2,64,0
5,1000,8,0,13,3,13,3,65,0
5,1000,8,0,13,3,13,4,61,0
5,1000,8,0,13,3,13,5,63,0
5,1000,8,0,14,3,14,1,62,0
5,1000,8,0,14,3,14,2,64,0
5,1000,8,0,14,3,14,3,65,0
5,1000,8,0,14,3,14,4,61,0
5,1000,8,0,14,3,14,5,63,0
5,1000,8,0,15,3,15,1,62,0
5,1000,8,0,15,3,15,2,64,0
5,1000,8,0,15,3,15,3,65,0
5,1000,8,0,15,3,15,4,61,0
5,1000,8,0,15,3,15,5,63,0
5,1000,8,0,16,3,16,1,62,0
5,1000,8,0,16,3,16,2,64,0
5,1000,8,0,16,3,16,3,65,0
5,1000,8,0,16,3,16,4,61,0
5,1000,8,0,16,3,16,5,63,0
5,1000,8,0,17,3,17,1,62,0
5,1000,8,0,17,3,17,2,64,0
5,1000,8,0,17,3,17,3,65,0
5,1000,8,0,17,3,17,4,61,0
5,1000,8,0,17,3,17,5,63,0
5,1000,8,0,18,3,18,1,62,0
5,1000,8,0,18,3,18,2,64,0
5,1000,8,0,18,3,18,3,65,0
5,1000,8,0,18,3,18,4,61,0
5,1000,8,0,18,3,18,5,63,0
5,1000,8,0,19,3,19,1,62,0
5,1000,8,0,19,3,19,2,64,0
5,1000,8,0,19,3,19,3,65,0
5,1000,8,0,19,3,19,4,61,0
5,1000,8,0,19,3,19,5,63,0
5,1000,8,0,20,3,20,1,62,0
5,1000,8,0,20,3,20,2,64,0
5,1000,8,0,20,3,20,3,65,0
5,1000,8,0,20,3,20,4,61,0
5,1000,8,0,20,3,20,5,63,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,1,4,1,1,26,0
5,1000,8,0,1,4,1,2,43,0
5,1000,8,0,1,4,1,3,53,0
5,1000,8,0,1,4,1,4,62,0
5,1000,8,0,1,4,1,5,61,0
5,1000,8,0,2,4,2,1,62,0
5,1000,8,0,2,4,2,2,62,0
5,1000,8,0,2,4,2,3,59,0
5,1000,8,0,2,4,2,4,62,0
5,1000,8,0,2,4,2,5,61,0
5,1000,8,0,3,4,3,1,62,0
5,1000,8,0,3,4,3,2,62,0
5,1000,8,0,3,4,3,3,59,0
5,1000,8,0,3,4,3,4,62,0
5,1000,8,0,3,4,3,5,61,0
5,1000,8,0,4,4,4,1,62,0
5,1000,8,0,4,4,4,2,62,0
5,1000,8,0,4,4,4,3,59,0
5,1000,8,0,4,4,4,4,62,0
5,1000,8,0,4,4,4,5,61,0
5,1000,8,0,5,4,5,1,62,0
5,1000,8,0,5,4,5,2,62,0
5,1000,8,0,5,4,5,3,59,0
5,1000,8,0,5,4,5,4,62,0
5,1000,8,0,5,4,5,5,61,0
5,1000,8,0,6,4,6,1,62,0
5,1000,8,0,6,4,6,2,62,0
5,1000,8,0,6,4,6,3,59,0
5,1000,8,0,6,4,6,4,62,0
5,1000,8,0,6,4,6,5,61,0
5,1000,8,0,7,4,7,1,62,0
5,1000,8,0,7,4,7,2,62,0
5,1000,8,0,7,4,7,3,59,0
5,1000,8,0,7,4,7,4,62,0
5,1000,8,0,7,4,7,5,61,0
